Address,Burrow,Month,Count
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,22
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,19
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,18
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,18
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,16
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,16
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,16
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,16
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,15
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,14
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,July,13
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,13
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,13
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,13
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,July,12
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,12
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,12
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,August,12
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,June,11
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,11
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,10
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,August,10
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,10
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,August,10
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,9
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,June,9
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,May,9
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,9
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,April,9
"9 East 1st Street, New York, New York, 10003, United States of America",Manhattan,May,9
" Terminal 5 Arrivals, New York, New York, 11422:11434, United States of America",Queens,June,8
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,July,8
" Terminal 4 Arrivals, New York, New York, 11430, United States of America",Queens,September,8
